Brigitte Lin,26.0
Ayana Sakai,23.0
Aya Hirayama,22.0
Atsuko Sakuraba,25.0
Angie Cheung,25.0
Angela Mao,24.0
Amy Kwok,27.0
Alice Chan,26.0
Ada Choi,24.0
James Lew,37.0
Alan Tam,26.0
Stephen Fung,28.0
James Hong,56.0
Ernie Reyes Jr.,34.0
Tony Chiu-Wai Leung,40.0
Julian Cheung,25.0
George Takei,53.0
Gedde Watanabe,36.0
Dong-Gun Jang,33.0
Chen Chang,30.0
Byron Mann,36.0
Peter Ho,21.0
Nyomi Marcela,29.0
Fujiko Kano,27.0
Asuka Sakamaki,19.0
Hayao Miyazaki,65.0
Victor Wong,55.0
Jack Soo,52.0
Yuki Uchida,28.0
Veronica Yip,27.0
Takashi Sorimachi,30.0
Ralph Recto,43.0
Pierre Png,29.0
Miyoshi Umeki,28.0
Miriam Quiambao,28.0
Lily Mariye,40.0
Kanako Enomoto,21.0
Hinano Yoshikawa,21.0
Harlem Yu,35.0
Ga-in Han,21.0
Eason Chan,24.0
Desy Ratnasari,21.0
Collin Chou,37.0
Cherie Chung,32.0
Amy Tan,41.0
Akira Kurosawa,49.0
Akiko Hinagata,23.0
Lily Ho,26.0
Shizuka Arakawa,25.0
Miki Ando,21.0
Ami Ohnuki,24.0
Yimou Zhang,50.0
Yimou Zhang,41.0
Miyako Fujitani,23.0
Miko Mayama,25.0
Jasmine Chow,35.0
Jasmine Chow,37.0
On-On Yu,29.0
Lakana Zee,27.0
Joana Pak,21.0
Jae Hyun Ahn,19.0
Marcia Cibele Aoki,39.0
Sasha Hu,25.0
Nina Lu,14.0
Kia Poetri,20.0
Karen Fukuhara,23.0
Misa Eto,22.0
Hiyori Okuda,26.0
Anne Nakamura,21.0
Joo-hee Ha,23.0
Allen Kim,23.0
Abbey Cameron,23.0
Vu Nguyen Ha Anh,22.0
So Kim,29.0
Angeline Yap,24.0
Linn Mashannoad Suvalmas,22.0
Kris Wu,21.0
Alina Li,19.0
Lee Yul-Eum,20.0
Grae Fernandez,18.0
Raymund Romualdez,30.0
Rachel Ann Daquis,25.0
Cassey Ho,30.0
Nana Komatsu,20.0
Tae-im Lee,24.0
Kim Jongin,18.0
Chanyeol,20.0
Christina Ann (spouse),46.0
David So,31.0
Yui Mizuno,8.0
Moa Kikuchi,17.0
Wang Xiaofei,32.0
Karman Wong,29.0
Tiffany (South Korean singer),21.0
Tiffany (South Korean singer),20.0
Joon-Hyuk Choi,21.0
Lee Hyeri,19.0
Chiharu Okunugi,18.0
Bang Minah,20.0
Madison Hu,17.0
Shiori Yokoi,21.0
Sara Tsukigami,24.0
Chino Copuyoc,18.0
Kristin Ogata,30.0
Kim Jin Woo,24.0
Yoon Bomi,20.0
Marica Hase,22.0
RR Garcia,27.0
Putri Gayatri Pertiwi,26.0
Young-kwang Kim,25.0
Yui Yokoyama,23.0
Haruka Shimazaki,20.0
Rina Kawaei,19.0
Anna Iriyama,20.0
Min Seo Kim,27.0
Yoon Se-ah,25.0
Seo In-guk,20.0
Sehun,19.0
Park Se-Young,20.0
So-Min Jeon,20.0
Sukollawat Kanarot,28.0
Afgan,23.0
Ami Yamazaki,21.0
Tong Liya,23.0
Seven (South Korean singer),22.0
Asuka Hoshino,23.0
Ji Chang-wook,21.0
Ayako Hara,23.0
Azusa Itagaki,23.0
Kim Yeon-Koung,22.0
Young JV,25.0
Rika Hoshimi,20.0
Lee Jong Hyun,22.0
Ju-Young Park,29.0
Rino Sashihara,22.0
Kyary Pamyu Pamyu,19.0
JB (singer),19.0
Fumika Shimizu,18.0
Soo Joo Park,24.0
Hyo-rin,19.0
Xiao Wen Ju,20.0
Jun Sung,23.0
Stephanie Sol,26.0
Belinda Mariano,6.0
Janna Cachola,29.0
Cheryl Yang,26.0
Ni Ni,22.0
Yoshiko Mandai,25.0
Mae Occhilupo,32.0
Coleen Gracia,20.0
Jiwan Luitel,29.0
Ourei Harada,23.0
Emerson Chua,25.0
Jeong Hyeok Park,29.0
Nao Minamisawa,19.0
Saicy Aguila,25.0
Shu Pei,21.0
Barbara Miguel,6.0
Rosy Delgado,23.0
Hiro Peralta,19.0
Jung-jin Lee,29.0
Adilla Dimitri,31.0
Yukina Kinoshita,21.0
Sabrina Okamoto,34.0
Sabrina Okamoto,28.0
Kwang-soo Lee,26.0
Ryosuke Miura,22.0
Nao Saejima,20.0
Bondy Chiu,32.0
Dong Woon,19.0
Doo Joon,21.0
Takahiro Morita,21.0
Wang Feng (singer),34.0
Estrella Lin,23.0
Anthony Taberna,37.0
Rina Nakanishi,20.0
Akkaphan Namart,23.0
Maki Nishiyama,23.0
Choi Han-bit,26.0
Ryan Bang,27.0
G.NA,20.0
Feng Shaofeng,28.0
Prabal Gurung,30.0
Nikhil Upreti,31.0
Teddy Park,27.0
Miwa (singer),21.0
Sunny (singer),21.0
Reen Yu,21.0
Han Seung-yeon,21.0
Seo Hyo-rim,20.0
Uee,23.0
Emily Chang (journalist),36.0
K.Will,21.0
Ki-Kwang Lee,19.0
Janice Man,22.0
Minji Gong,20.0
Rui Sakuragi,22.0
Arika Sato,25.0
Bernabe Concepcion,28.0
An Nanba,23.0
Onew,18.0
Tomomi Itano,19.0
Key (singer),19.0
Alan Dawa Dolma,23.0
Gummy (singer),24.0
Jam Hsiao,26.0
Manami Oku,18.0
Min Hyo-rin,20.0
Yuki Kashiwagi,21.0
Murder of Pai Hsiao-yen,20.0
Kanokkorn Jaicheun,25.0
Miwa Asao,22.0
Shindong,33.0
Kang-in,20.0
Jong-woon Kim,20.0
Farung Yuthithum,26.0
Tetsu Yamauchi,32.0
Yukari Kuzuya,23.0
