Nonami Takizawa,22.0
Brenda Song,25.0
Min-Ho Lee,24.0
Kathryn Bernardo,25.0
Bum Kim,21.0
Sarah Geronimo,27.0
Kim Chiu,23.0
Coco Martin,20.0
Angel Locsin,25.0
Reon Kadena,21.0
Kristine Hermosa,28.0
Yoko Matsugane,23.0
Lucy Liu,37.0
Anri Sugihara,19.0
Albie Casiño,19.0
Ryan Higa,26.0
Hye-Sun Ku,23.0
Momoko Tani,23.0
Bea Binene,20.0
Sam Pinto,23.0
Jenna Ushkowitz,28.0
Hyun-joong Kim,26.0
Toni Gonzaga,25.0
Cristine Reyes,23.0
Aljur Abrenica,25.0
Tia Tanaka,23.0
Daphne Joy,27.0
Hyun Bin,26.0
Jerry Yan,23.0
Hye-Kyo Song,24.0
Yûko Ogura,19.0
Harumi Nemoto,25.0
Asa Akira,28.0
Jamie Chung,22.0
Natasha Yi,26.0
Vivian Hsu,22.0
Rica Peralejo,24.0
Regine Velasquez,28.0
Kyoko Fukada,20.0
Kaye Abad,24.0
Kaylani Lei,26.0
Bamboo,30.0
Lea Salonga,31.0
Ziyi Zhang,25.0
Qi Shu,26.0
Michelle Wie,24.0
Bai Ling,27.0
Jet Li,36.0
Jackie Chan,48.0
Li Gong,25.0
Erdenetuya Batsukh,25.0
Piper Curda,20.0
Sora Aoi,19.0
Elly Tran Ha,19.0
Petra So,24.0
Yam Concepcion,25.0
Nong Poy,20.0
Michelle Phan,23.0
Yoona,22.0
Ji-yong Kwon,23.0
Min-Young Park,22.0
Shin-Hye Park,20.0
Hitomi Tanaka,26.0
Karolyn Pho,29.0
Tinglan Hong,30.0
Neil Arce,20.0
Louise de los Reyes,20.0
Yû Tejima,28.0
Natsuko Tatsumi,23.0
Asami Tada,23.0
Natsuna,20.0
Emmalyn Estrada,24.0
Megumi Yasu,22.0
Steven Yeun,30.0
Borgy Manotoc,25.0
AJ Perez,20.0
Andrea Thi,21.0
So-eun Kim,22.0
Barbie Forteza,27.0
Rainie Yang,20.0
Arden Cho,31.0
Ashley Argota,22.0
Jake Vargas,25.0
Liz Uy,31.0
JC Intal,23.0
Maricar Reyes,26.0
London Keyes,25.0
Jean Garcia,32.0
Carlo Aquino,27.0
Ervic Vijandre,26.0
LJ Reyes,29.0
Gretchen Barretto,30.0
Mikee Cojuangco,23.0
Bianca Gonzalez,22.0
Hayden Kho,30.0
Rachelle Ann Go,20.0
Jordan Rodrigues,18.0
Jodi Sta. Maria,27.0
JC de Vera,29.0
Karylle,23.0
Waka Inoue,22.0
Hitomi Aizawa,22.0
Byung-Hun Lee,33.0
Minase Yashiro,24.0
Erika Sato,19.0
Enchong Dee,21.0
Ella Cruz,21.0
Ji-Hwan Kang,33.0
Haruma Miura,26.0
Erika Toda,22.0
Yui,22.0
Jin Akanishi,22.0
Atsuko Maeda,20.0
Christine Nguyen,28.0
Carmen Soo,28.0
Chinatsu Wakatsuki,22.0
Sandara Park,22.0
Katrina Halili,30.0
Marco Alcaraz,28.0
Maki Horikita,18.0
Keun-Suk Jang,22.0
Yoo Gong,26.0
Ayaka Komatsu,24.0
Harry Shum Jr.,29.0
Korina Sanchez,29.0
Julia Clarete,23.0
Diana Zubiri,30.0
Vhong Navarro,25.0
Seung-heon Song,30.0
Leehom Wang,28.0
Priscilla Almeda,28.0
Ji-won Ha,22.0
Ayu Azhari,30.0
Wei Tang,23.0
Tim Kang,35.0
Eric Moon,27.0
Rain,23.0
Aiza Seguerra,15.0
Christian Bautista,29.0
Sung Kang,33.0
Shun Oguri,27.0
Sharon Cuneta,41.0
Mark Herras,32.0
Maria Takagi,23.0
Kumi Koda,23.0
Haruna Yabuki,23.0
Wei Zhao,24.0
Rio Natsume,25.0
Miwa Oshiro,23.0
Haruka Ayase,19.0
Azusa Yamamoto,21.0
Yôko Maki,23.0
Takeshi Kaneshiro,24.0
Aya Ueto,24.0
Aki Hoshino,21.0
Anggun,32.0
Vanessa Mae,25.0
Ayumi Hamasaki,22.0
China Lee,26.0
Michelle Malkin,27.0
Emma Sugiyama,28.0
Jeannie Mai,31.0
Akira Fubuki,21.0
Won Bin,23.0
Hiromi Oshima,25.0
Jolin Tsai,24.0
Gackt,24.0
Jay Chou,25.0
Francine Dee,24.0
Akira Lane,23.0
Chiasa Aonuma,19.0
Norika Fujiwara,23.0
Kumiko Takeda,24.0
Fumie Hosokawa,23.0
Barbie Hsu,20.0
Yukie Nakama,23.0
Tamlyn Tomita,33.0
BoA,23.0
Antoinette Taus,24.0
Amy Yip,28.0
Aika Miura,24.0
Rico Yan,19.0
Rick Yune,31.0
Charmane Star,26.0
Yumi Adachi,17.0
Saki Takaoka,23.0
Mika Tan,23.0
Kobe Tai,28.0
Hikaru Utada,19.0
Yoko Ono,54.0
Ming-Na Wen,33.0
Yunjin Kim,30.0
Michelle Yeoh,36.0
Michelle Kwan,28.0
Keiko Kitagawa,23.0
Katie Leung,19.0
Sung Hi Lee,30.0
Steffiana De La Cruz,30.0
Sandra Oh,41.0
Nikki Park,29.0
Jenny Shimizu,32.0
Alice Kim Cage,26.0
Maine Mendoza,22.0
Hinako Sano,20.0
Suzy Bae,20.0
Mari Takahashi,24.0
Kiana Kim,32.0
McCoy De Leon,19.0
Marlo Mortel,24.0
Sung Hoon,23.0
Jerome Ponce,22.0
Janella Salvador,20.0
Risa Yoshiki,20.0
Asana Mamoru,21.0
Tae-yeong Son,24.0
Yong-hwa Jung,22.0
Richard Yap,38.0
Pimchanok Leuwisetpaiboon,20.0
Sohee,19.0
Mikael Daez,29.0
Yoo-jin Kim,22.0
Ai Shinozaki,18.0
Woo-young Jang,24.0
In-Na Yoo,21.0
Taecyeon,25.0
Ayaka Sayama,18.0
Hyuna,20.0
Chrissie Chau,23.0
Namrata Shrestha,28.0
Maya Sakura,28.0
Fuko,24.0
Ji-seob So,27.0
Sung Yu Ri,23.0
Rico Blanco,30.0
Srirasmi,26.0
Joong-Ki Song,25.0
Bianca Manalo,26.0
Yuma Asami,21.0
Jin-wook Lee,31.0
Angeline Quinto,25.0
Mike Ho,22.0
Seung-gi Lee,31.0
Seung-Hyun Choi,23.0
Panfilo ,24.0
Natalie Kenly,29.0
Vice Ganda,36.0
Luane Dy,27.0
Joon Kim,22.0
Noynoy Aquino III,48.0
Hanako Takigawa,20.0
Minami Takahashi,20.0
Mami Yamasaki,22.0
Yuri Ebihara,23.0
Hyo-ri Lee,23.0
Koharu Kusumi,19.0
Ynna Asistio,23.0
Anna Kuramoto,13.0
Rocco Nacino,27.0
Claudia Yuen,23.0
Misako Yasuda,19.0
Chiaki Takahashi,23.0
Alex Gonzaga,20.0
Paul Jake Castillo,23.0
Saori Yamamoto,18.0
Yuriko Yoshitaka,22.0
Princess Velasco,22.0
Lena Li,31.0
Jake Zyrus,23.0
