name,real_age,faceapi_age,dif
KenJeong,50,41,-9
StevenYeun,36,29,-7
JohnCho,47,32,-15
DanielDaeKim,51,39,-12
MasiOka,45,31,-14
AdhirKalyan,36,29,-7
KenLeung,49,46,-3
JamesKyson,44,37,-7
TimKang,46,35,-11
AaronYoo,40,32,-8
RexLee,50,41,-9
JoeTaslim,38,36,-2
HrithikRoshan,45,35,-10
RickYune,48,30,-18
WillYunLee,48,34,-14
LouDiamondPhillips,57,46,-11
HiroyukiSanada,59,34,-25
SalmanKhan,54,36,-18
EdisonChen,39,27,-12
NicholasTse,39,32,-7
JamesShigeta,90,46,-44
DustinNguyen,57,36,-21
GarretSato,55,39,-16
KenWatanabe,60,39,-21
KeaganKang,43,34,-9
Yun-FatChow,64,37,-27
AndyLau,58,33,-25
KaTungLam,52,34,-18
강경준,36,22,-14
강명진,60,42,-18
강문기,57,34,-23
강석현,52,44,-8
강성환,61,40,-21
강신규,55,39,-16
강연호,60,49,-11
강용규,61,33,-28
강유일,65,43,-22
강중구,53,39,-14
강철,65,48,-17
거룡,61,42,-19
고대한,44,29,-15
고혜성,44,31,-13
공형진,49,37,-12
곽만용,67,45,-22
곽무성,61,36,-25
곽진,40,32,-8
곽희범,71,40,-31
국호,58,41,-17
권관오,61,47,-14
권금산,61,45,-16
권병길,73,50,-23
권성영,65,29,-36
권순동,51,36,-15
권순명,63,38,-25
권혁진,61,40,-21
금용,71,48,-23
길다로,76,56,-20
길손,58,44,-14
김강헌,42,25,-17
김건호,68,49,-19
김경수,70,46,-24
김국현,69,38,-31
김기종,58,34,-24
김길호,58,44,-14
김남일,78,36,-42
김대원,56,37,-19
김백수,68,51,-17
김병수,40,27,-13
김보성,53,30,-23
김상준,62,46,-16
김석훈,90,53,-37
김성돈,54,33,-21
김세준,56,35,-21
김수로,49,35,-14
김승욱,40,23,-17
김승윤,29,16,-13
김아담,49,34,-15
김영규,57,40,-17
김영대,58,35,-23
김영인,76,59,-17
김영회,67,33,-34
김용덕,84,65,-19
김우빈,68,40,-28
김인수,31,18,-13
김인원,42,27,-15
김일구,79,48,-31
김일영,62,47,-15
김일욱,84,52,-32
김일중,65,47,-18
김재주,36,28,-8
김정균,54,38,-16
김정원,39,21,-18
김정일,66,39,-27
김종욱,66,46,-20
김종호,65,42,-23
김주식,52,36,-16
김준석,36,25,-11
김지우,64,42,-22
김진우,34,20,-14
김창봉,71,47,-24
김창조,42,38,-4
김창현,60,43,-17
김태건,34,22,-12
김태관,32,25,-7
김태윤,28,20,-8
김필수,48,34,-14
김하림,79,49,-30
김학구,64,42,-22
김한기,73,52,-21
김해곤,55,39,-16
김형일,59,36,-23
김효명,31,19,-12
김희라,72,51,-21
김희열,60,40,-20
나갑성,75,46,-29
남궁원,85,48,-37
남대영,80,52,-28
남을균,74,43,-31
남포동,75,50,-25
노진아,72,46,-26
마감성,41,24,-17
마빈,69,48,-21
마흥식,71,43,-28
문선용,35,26,-9
문직선,32,20,-12
문채성,34,27,-7
문철재,63,41,-22
민승규,55,34,-21
박경득,82,54,-28
박경호,30,17,-13
박경흠,60,46,-14
박규성,82,52,-30
박근범,45,22,-23
박근형,79,45,-34
박기운,36,24,-12
박기택,82,36,-46
박길현,67,40,-27
박대성,65,44,-21
박동룡,79,45,-34
박문규,68,44,-24
박상국,55,34,-21
박상민,49,29,-20
박성균,47,29,-18
박세범,59,41,-18
박세준,79,49,-30
박수복,53,35,-18
박영록,58,40,-18
박영화,38,23,-15
박용팔,84,43,-41
박용호,71,46,-25
박윤식,38,23,-15
박종설,77,51,-26
박준규,55,44,-11
박준우,41,25,-16
박중훈,53,35,-18
박철민,73,48,-25
박태현,43,31,-12
박통일,69,46,-23
박필진,39,26,-13
박해일,42,28,-14
박형준,49,30,-19
박효근,70,46,-24
박휴성,34,23,-11
방승빈,33,26,-7
배칠수,46,40,-6
백민,53,36,-17
백봉기,39,22,-17
백용석,31,23,-8
백일섭,75,46,-29
봉두개,63,38,-25
사원배,84,53,-31
서동원,40,25,-15
서문경,51,32,-19
