name,real_age,faceapi_age,dif
Nonami Takizawa,34,22,-12
Brenda Song,31,25,-6
Min-Ho Lee,32,24,-8
Kathryn Bernardo,23,25,2
Bum Kim,30,21,-9
Sarah Geronimo,31,27,-4
Kim Chiu,29,23,-6
Coco Martin,38,20,-18
Angel Locsin,34,25,-9
Kristine Hermosa,36,28,-8
Yoko Matsugane,37,23,-14
Lucy Liu,51,37,-14
Albie Casiño,26,19,-7
Hye-Sun Ku,35,23,-12
Sam Pinto,30,23,-7
Jenna Ushkowitz,33,28,-5
Hyun-joong Kim,33,26,-7
Toni Gonzaga,35,25,-10
Cristine Reyes,30,23,-7
Aljur Abrenica,29,25,-4
Hyun Bin,37,26,-11
Hye-Kyo Song,38,24,-14
Harumi Nemoto,39,25,-14
Asa Akira,33,28,-5
Jamie Chung,36,22,-14
Regine Velasquez,49,28,-21
Kyoko Fukada,37,20,-17
Kaye Abad,37,24,-13
Kaylani Lei,39,26,-13
Lea Salonga,48,31,-17
Ziyi Zhang,40,25,-15
Qi Shu,43,26,-17
Michelle Wie,30,24,-6
Bai Ling,53,27,-26
Jet Li,56,36,-20
Jackie Chan,65,48,-17
Li Gong,54,25,-29
Erdenetuya Batsukh,10,25,15
Piper Curda,22,20,-2
Yam Concepcion,31,25,-6
Yoona,29,22,-7
Ji-yong Kwon,31,23,-8
Min-Young Park,33,22,-11
Shin-Hye Park,29,20,-9
Louise de los Reyes,27,20,-7
Asami Tada,9,23,14
Natsuna,30,20,-10
Emmalyn Estrada,27,24,-3
Steven Yeun,36,30,-6
AJ Perez,8,20,12
So-eun Kim,30,22,-8
Rainie Yang,35,20,-15
Arden Cho,34,31,-3
Ashley Argota,26,22,-4
Jake Vargas,27,25,-2
Liz Uy,37,31,-6
JC Intal,36,23,-13
Maricar Reyes,38,26,-12
Jean Garcia,50,32,-18
Carlo Aquino,34,27,-7
Gretchen Barretto,49,30,-19
Mikee Cojuangco,45,23,-22
Bianca Gonzalez,36,22,-14
Rachelle Ann Go,33,20,-13
Jodi Sta. Maria,37,27,-10
Waka Inoue,39,22,-17
Byung-Hun Lee,49,33,-16
Enchong Dee,31,21,-10
Ji-Hwan Kang,42,33,-9
Erika Toda,31,22,-9
Yui,32,22,-10
Jin Akanishi,35,22,-13
Carmen Soo,42,28,-14
Chinatsu Wakatsuki,35,22,-13
Sandara Park,35,22,-13
Katrina Halili,33,30,-3
Maki Horikita,31,18,-13
Keun-Suk Jang,32,22,-10
Yoo Gong,40,26,-14
Ayaka Komatsu,33,24,-9
Harry Shum Jr.,37,29,-8
Korina Sanchez,55,29,-26
Julia Clarete,40,23,-17
Vhong Navarro,42,25,-17
Seung-heon Song,43,30,-13
Leehom Wang,43,28,-15
Ji-won Ha,41,22,-19
Ayu Azhari,50,30,-20
Wei Tang,40,23,-17
Tim Kang,46,35,-11
Eric Moon,40,27,-13
Rain,37,23,-14
Aiza Seguerra,36,15,-21
Christian Bautista,38,29,-9
Sung Kang,47,33,-14
Shun Oguri,37,27,-10
Sharon Cuneta,53,41,-12
Mark Herras,33,32,-1
Kumi Koda,37,23,-14
Haruna Yabuki,35,23,-12
Wei Zhao,43,24,-19
Rio Natsume,34,25,-9
Miwa Oshiro,36,23,-13
Yôko Maki,37,23,-14
Takeshi Kaneshiro,46,24,-22
Aya Ueto,34,24,-10
Aki Hoshino,42,21,-21
Anggun,45,32,-13
Ayumi Hamasaki,41,22,-19
China Lee,77,26,-51
Michelle Malkin,49,27,-22
Jeannie Mai,40,31,-9
Won Bin,42,23,-19
Jolin Tsai,39,24,-15
Gackt,46,24,-22
Jay Chou,40,25,-15
Fumie Hosokawa,48,23,-25
Yukie Nakama,40,23,-17
Tamlyn Tomita,53,33,-20
BoA,33,23,-10
Rico Yan,17,19,2
Rick Yune,48,31,-17
Charmane Star,40,26,-14
Mika Tan,42,23,-19
Kobe Tai,47,28,-19
Hikaru Utada,36,19,-17
Yoko Ono,86,54,-32
Yunjin Kim,46,30,-16
Michelle Yeoh,57,36,-21
Michelle Kwan,39,28,-11
Keiko Kitagawa,33,23,-10
Katie Leung,32,19,-13
Sung Hi Lee,49,30,-19
Steffiana De La Cruz,8,30,22
Sandra Oh,48,41,-7
Jenny Shimizu,52,32,-20
Alice Kim Cage,12,26,14
Suzy Bae,25,20,-5
Kiana Kim,6,32,26
Marlo Mortel,26,24,-2
Jerome Ponce,24,22,-2
Janella Salvador,21,20,-1
Tae-yeong Son,39,24,-15
Yong-hwa Jung,30,22,-8
Richard Yap,52,38,-14
Sohee,27,19,-8
Mikael Daez,31,29,-2
Yoo-jin Kim,38,22,-16
Ai Shinozaki,27,18,-9
Woo-young Jang,30,24,-6
In-Na Yoo,37,21,-16
Taecyeon,31,25,-6
Hyuna,27,20,-7
Ji-seob So,42,27,-15
Sung Yu Ri,38,23,-15
Rico Blanco,46,30,-16
Srirasmi,48,26,-22
Joong-Ki Song,34,25,-9
Jin-wook Lee,38,31,-7
